"institute.name","School.board","City.x","School.Code","School.Name","Board.Name","City.y","mm","city_match"
"St. John Bosco Catholic School","Dufferin-Peel CDSB","Oshawa","858892","St John Bosco Catholic School","Wellington CDSB","Guelph",1,FALSE
"Father Francis Mcspiritt Catholic Elementary School","Dufferin-Peel CDSB","Brampton","730441","Father Francis McSpiritt Catholic Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"Robert F. Hall Catholic Secondary School","Dufferin-Peel CDSB","Caledon East","753211","Robert F Hall Catholic Secondary School","Dufferin-Peel CDSB","Caledon East",1,TRUE
"St. Marcellinus Secondary School","Dufferin-Peel CDSB","Mississauga","821381","St Marcellinus Secondary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Anne Separate School","Dufferin-Peel CDSB","Brampton","771759","St Anne Separate School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Anne Separate School","Dufferin-Peel CDSB","Brampton","770744","St Anne Separate School","Sudbury CDSB","Hanmer",1,FALSE
"St Alphonsa Catholic Elementary School","Dufferin-Peel CDSB","Brampton","715030","St. Alphonsa Catholic Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","819433","St Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","820679","St. Luke Catholic Elementary School","Halton CDSB","Oakville",1,FALSE
"St. Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","820652","St. Luke Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",1,FALSE
"St. Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","705870","St. Luke Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Lindsay",1,FALSE
"St. Luke Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","820512","St Luke Catholic Elementary School","Waterloo CDSB","Waterloo",1,FALSE
"St. Jerome Separate School","Dufferin-Peel CDSB","Mississauga","801100","St Jerome Separate School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Hilary Elementary School","Dufferin-Peel CDSB","Mississauga","797278","St Hilary Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Paul Secondary School","Dufferin-Peel CDSB","Mississauga","841730","St Paul Secondary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Edmund Separate School","Dufferin-Peel CDSB","Mississauga","787647","St Edmund Separate School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St Peter Catholic Elementary School","Dufferin-Peel CDSB","Orangeville","843989","St. Peter Catholic Elementary School","Halton CDSB","Milton",1,FALSE
"St Peter Catholic Elementary School","Dufferin-Peel CDSB","Orangeville","844322","St Peter Catholic Elementary School","Niagara CDSB","St Catharines",1,FALSE
"St Peter Catholic Elementary School","Dufferin-Peel CDSB","Orangeville","845108","St Peter Catholic Elementary School","Waterloo CDSB","Cambridge",1,FALSE
"St Peter Catholic Elementary School","Dufferin-Peel CDSB","Orangeville","845531","St Peter Catholic Elementary School","York CDSB","Woodbridge",1,FALSE
"Canadian Martyrs Catholic School","Dufferin-Peel CDSB","Mississauga","693634","Canadian Martyrs Catholic School","Simcoe Muskoka CDSB","Penetanguishene",1,FALSE
"Canadian Martyrs Catholic School","Dufferin-Peel CDSB","Mississauga","694045","Canadian Martyrs Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Bernard of Clairvaux School","Dufferin-Peel CDSB","Mississauga","779067","St. Bernard of Clairvaux School","Brant Haldimand Norfolk CDSB","Waterford",1,FALSE
"St. Andre Bessette Catholic Elementary School","Dufferin-Peel CDSB","Brampton","812896","St. André Bessette Catholic Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Aloysius Gonzaga Secondary School","Dufferin-Peel CDSB","Mississauga","767255","St Aloysius Gonzaga Secondary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. John Fisher Catholic School","Dufferin-Peel CDSB","Brampton","803375","St John Fisher Catholic School","St Clair CDSB","Forest",1,FALSE
"St. Thomas More School","Dufferin-Peel CDSB","Mississauga","856207","St Thomas More School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Gregory School","Dufferin-Peel CDSB","Mississauga","795852","St Gregory School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Jude Separate School","Dufferin-Peel CDSB","Mississauga","816116","St Jude Separate School","London District Catholic School Board","London",1,FALSE
"St. Edmund Campion Secondary School","Dufferin-Peel CDSB","Brampton","788511","St Edmund Campion Secondary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Francis Xavier Secondary School","Dufferin-Peel CDSB","Mississauga","792594","St Francis Xavier Secondary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Marguerite d'Youville Secondary School","Dufferin-Peel CDSB","Brampton","822655","St Marguerite d'Youville Secondary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"Christ the King Catholic School","Dufferin-Peel CDSB","Mississauga","697095","Christ The King Catholic School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"Christ the King Catholic School","Dufferin-Peel CDSB","Mississauga","697567","Christ the King Catholic School","St Clair CDSB","Wallaceburg",1,FALSE
"St. Rita Elementary School","Dufferin-Peel CDSB","Brampton","849286","St Rita Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Rita Elementary School","Dufferin-Peel CDSB","Brampton","849260","St Rita Elementary School","Ottawa CDSB","Nepean",1,FALSE
"St. Edith Stein Elementary School","Dufferin-Peel CDSB","Mississauga","690031","St Edith Stein Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"ST Maria Goretti Elementary School","Dufferin-Peel CDSB","Brampton","821365","St Maria Goretti Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Thomas Aquinas Secondary School","Dufferin-Peel CDSB","Brampton","854530","St Thomas Aquinas Secondary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Thomas Aquinas Secondary School","Dufferin-Peel CDSB","Brampton","854280","St Thomas Aquinas Secondary School","London District Catholic School Board","London",1,FALSE
"St. Francis Xavier Elementary School","Dufferin-Peel CDSB","Brampton","792365","St Francis Xavier Elementary School","CDSB of Eastern Ontario","Hammond",1,FALSE
"St. Francis Xavier Elementary School","Dufferin-Peel CDSB","Brampton","792586","St Francis Xavier Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Sebastian Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","850217","St Sebastian Catholic Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Helen Separate School","Dufferin-Peel CDSB","Mississauga","796468","St Helen Separate School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Valentine Elementary School","Dufferin-Peel CDSB","Mississauga","858420","St Valentine Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Julia Catholic Elementary School","Dufferin-Peel CDSB","Mississauga","800007","St Julia Catholic Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Mary Elementary School","Dufferin-Peel CDSB","Brampton","824950","St Mary Elementary School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Teresa of Avila Separate School","Dufferin-Peel CDSB","Mississauga","851299","St Teresa of Avila Separate School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Brigid School","Dufferin-Peel CDSB","Brampton","780804","St Brigid School","Dufferin-Peel CDSB","Brampton",1,TRUE
"St. Catherine of Siena School","Dufferin-Peel CDSB","Mississauga","781401","St Catherine of Siena School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Catherine of Siena School","Dufferin-Peel CDSB","Mississauga","781487","St Catherine of Siena School","Simcoe Muskoka CDSB","Barrie",1,FALSE
"St. Francis of Assisi Catholic School","Dufferin-Peel CDSB","Mississauga","756642","St Francis of Assisi Catholic School","Algonquin and Lakeshore CDSB","Kingston",1,FALSE
"St. Francis of Assisi Catholic School","Dufferin-Peel CDSB","Mississauga","753580","St Francis of Assisi Catholic School","Renfrew County CDSB","Petawawa",1,FALSE
"St. Francis of Assisi Catholic School","Dufferin-Peel CDSB","Mississauga","791679","St Francis of Assisi Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Francis of Assisi Catholic School","Dufferin-Peel CDSB","Mississauga","792080","St Francis of Assisi Catholic School","Wellington CDSB","Guelph",1,FALSE
"St. Nicholas Elementary School","Dufferin-Peel CDSB","Bolton","836036","St Nicholas Elementary School","Dufferin-Peel CDSB","Bolton",1,TRUE
"Captain Michael VandenBos Public School","Durham DSB","Whitby","082686","Captain Michael VandenBos Public School","Durham DSB","WHITBY",1,FALSE
"St. Catherine of Alexandria Catholic Elementary School","Durham DSB","Halton Hills","781436","St. Catherine of Alexandria Catholic Elementary School","Halton CDSB","Georgetown",1,FALSE
"Our Lady of Lourdes School","Waterloo CDSB","Waterloo","745782","Our Lady of Lourdes School","Superior North CDSB","Manitouwadge",1,FALSE
"Parkside Collegiate Institute","Thames Valley DSB","St. Thomas","944939","Parkside Collegiate Institute","Thames Valley DSB","St Thomas",1,FALSE
"Elgin Court Public School","Thames Valley DSB","St. Thomas","170500","Elgin Court Public School","Thames Valley DSB","St Thomas",1,FALSE
"Clarington Central Secondary School","Kawartha Pine Ridge DSB","Clarington","901687","Clarington Central Secondary School","Kawartha Pine Ridge DSB","Bowmanville",1,FALSE
"St. Mary's Catholic School","Simcoe Muskoka CDSB","Barrie","828467","St Mary's Catholic School","Huron-Superior CDSB","Blind River",1,FALSE
"St. George-German Public School","Grand Erie DSB","St. George","521760","St George-German Public School","Grand Erie DSB","St George",1,FALSE
"Keewatin Public School","Keewatin Patricia DSB","Kenora","288675","Keewatin Public School","Keewatin-Patricia DSB","Keewatin",1,FALSE
"St. James Public School","Lakehead DSB","Thunder Bay","530344","St James Public School","Lakehead DSB","Thunder Bay",1,TRUE
"Hammarskold High School","Lakehead DSB","Thunder Bay","915424","Hammarskjold High School","Lakehead DSB","Thunder Bay",1,TRUE
"St. Vincent De Paul Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","858102","St. Vincent de Paul Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",1,TRUE
"St Brigid Catholic School","Waterloo CDSB","North Dumfries","780880","St Brigid Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Bernadette Elementary School","Simcoe Muskoka CDSB","Barrie","777528","St Bernadette Elementary School","Dufferin-Peel CDSB","Mississauga",1,FALSE
"St. Bernadette Elementary School","Simcoe Muskoka CDSB","Barrie","777935","St Bernadette Elementary School","Simcoe Muskoka CDSB","Barrie",1,TRUE
"St John XXIII Catholic School","Dufferin-Peel CDSB","Mississauga","724084","St John XXIII Catholic School","Durham CDSB","Oshawa",1,FALSE
"St John XXIII Catholic School","Dufferin-Peel CDSB","Mississauga","724122","St John XXIII Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Florence Catholic School","Toronto CDSB","Scarborough","789992","St Florence Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Raphael Catholic School","Toronto CDSB","North York","848220","St Raphael Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Monicas Separate School","Simcoe Muskoka CDSB","Barrie","835749","St Monicas Separate School","Simcoe Muskoka CDSB","Barrie",1,TRUE
"Cedar Creek Public School","Waterloo Regional DSB","North Dumfries","089451","Cedar Creek Public School","Waterloo Region DSB","Ayr",1,FALSE
"Bellmoore Public School","Hamilton-Wentworth DSB","Hamilton","041548","Bellmoore Public School","Hamilton-Wentworth DSB","Binbrook",1,FALSE
"Prince Andrew Public School","Greater Essex County","Lasalle","452734","Prince Andrew Public School","Greater Essex County DSB","LaSalle",1,FALSE
"Centennial Central Public School","Greater Essex County","Lakeshore","098094","Centennial Central Public School","Greater Essex County DSB","Comber",1,FALSE
"Canadian Martyrs Catholic School","Toronto CDSB","East York","693634","Canadian Martyrs Catholic School","Simcoe Muskoka CDSB","Penetanguishene",1,FALSE
"Canadian Martyrs Catholic School","Toronto CDSB","East York","694045","Canadian Martyrs Catholic School","Toronto CDSB","Toronto",1,FALSE
"École élémentaire catholique Sainte-Geneviève","CECCE","(Old) Ottawa","861871","École élémentaire catholique Sainte-Geneviève","CSDC du Centre-Est de l'Ontario","Ottawa",1,FALSE
"Precious Blood Catholic School","Toronto CDSB","Scarborough","751634","Precious Blood Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Edmund Campion Catholic School","Toronto CDSB","Scarborough","787663","St Edmund Campion Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. James Separate School","Toronto CDSB","York","763721","St James Separate School","Huron Perth CDSB","Seaforth",1,FALSE
"St. James Separate School","Toronto CDSB","York","798568","St James Separate School","Renfrew County CDSB","Eganville",1,FALSE
"St. James Separate School","Toronto CDSB","York","798436","St James Separate School","Simcoe Muskoka CDSB","Tottenham",1,FALSE
"St. Lawrence Catholic School","Toronto CDSB","Scarborough","817287","St Lawrence Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Catherine of Siena Catholic School","Durham CDSB","Ajax","781282","St Catherine of Siena Catholic School","Durham CDSB","Ajax",1,TRUE
"St. Catherine of Siena Catholic Elementary School","London CDSB","London","781460","St Catherine of Siena Catholic Elementary School","York CDSB","Woodbridge",1,FALSE
"St. Joseph's High School","London CDSB","St. Thomas","810916","St Joseph's High School","London District Catholic School Board","St. Thomas",1,TRUE
"St. Joseph's High School","London CDSB","St. Thomas","814962","St Joseph's High School","Renfrew County CDSB","Renfrew",1,FALSE
"St. Joseph's High School","London CDSB","St. Thomas","736163","St Joseph's High School","Windsor-Essex CDSB","Windsor",1,FALSE
"Sacred Heart School","Northwest CDSB","Sioux Lookout","759309","Sacred Heart School","Brant Haldimand Norfolk CDSB","Langton",1,FALSE
"Sacred Heart School","Northwest CDSB","Sioux Lookout","732133","Sacred Heart School","Bruce-Grey CDSB","Mildmay",1,FALSE
"Sacred Heart School","Northwest CDSB","Sioux Lookout","759040","Sacred Heart School","CDSB of Eastern Ontario","Cornwall",1,FALSE
"Sacred Heart School","Northwest CDSB","Sioux Lookout","756962","Sacred Heart School","Simcoe Muskoka CDSB","Midland",1,FALSE
"Central Manitoulin Public School","Rainbow DSB","Central Manitoulin","085618","Central Manitoulin Public School","Rainbow DSB","Mindemoya",1,FALSE
"Algonquin Public School","Rainbow DSB","Sudbury","011576","Algonquin Public School","Thames Valley DSB","Woodstock",1,FALSE
"Markstay Public School","Rainbow DSB","Markstay-Warren","237582","Markstay Public School","Rainbow DSB","Markstay",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","815330","St Joseph Catholic School","Algonquin and Lakeshore CDSB","Belleville",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","811696","St Joseph Catholic School","Durham CDSB","Uxbridge",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","814423","St Joseph Catholic School","Durham CDSB","Oshawa",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","731870","St Joseph Catholic School","Huron-Superior CDSB","Wawa",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","809233","St Joseph Catholic School","St Clair CDSB","Corunna",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","811432","St Joseph Catholic School","St Clair CDSB","Tilbury",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","810525","St Joseph Catholic School","Sudbury CDSB","Killarney",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","811564","St Joseph Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","808830","St Joseph Catholic School","Wellington CDSB","Guelph",1,FALSE
"St. Joseph Catholic School","Wellington CDSB","Fergus","806188","St Joseph Catholic School","Windsor-Essex CDSB","River Canard",1,FALSE
"École élémentaire publique Michel-Dupuis","CEPEO","Summerhill Village","530457","École élémentaire publique Michel-Dupuis","CÉP de l'Est de l'Ontario","Ottawa",1,FALSE
"Holy Cross Catholic Elementary School","Windsor Essex CDSB","Lasalle","714712","Holy Cross Catholic Elementary School","Halton CDSB","Halton Hills",1,FALSE
"Holy Cross Catholic Elementary School","Windsor Essex CDSB","Lasalle","714810","Holy Cross Catholic Elementary School","Thunder Bay CDSB","Thunder Bay",1,FALSE
"Holy Cross Catholic Elementary School","Windsor Essex CDSB","Lasalle","704245","Holy Cross Catholic Elementary School","Windsor-Essex CDSB","LaSalle",1,FALSE
"W.H. Day Elementary School","Simcoe County DSB","Bradford","585599","W. H. Day Elementary School","Simcoe County DSB","Bradford",1,TRUE
"St. Dominic Savio Catholic School","Toronto CDSB","Scarborough","786756","St Dominic Savio Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Eugene Catholic School","Toronto CDSB","Etobicoke","789690","St Eugene Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Martha Catholic School","Toronto CDSB","North York","823570","St Martha Catholic School","Algonquin and Lakeshore CDSB","Kingston",1,FALSE
"St. Martha Catholic School","Toronto CDSB","North York","823597","St Martha Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Monica Catholic School","Toronto CDSB","Toronto","835668","St Monica Catholic School","Durham CDSB","Pickering",1,FALSE
"St. Monica Catholic School","Toronto CDSB","Toronto","835480","St Monica Catholic School","Toronto CDSB","Toronto",1,TRUE
"Silverheights Public School","Waterloo Regional DSB","City of Cambridge","533718","Silverheights Public School","Waterloo Region DSB","Cambridge",1,FALSE
"St. Vincent De Paul Catholic Elementary School","Waterloo CDSB","City of Cambridge","858102","St. Vincent de Paul Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton",1,FALSE
"St. Thomas More Catholic School","Toronto CDSB","Scarborough","856150","St Thomas More Catholic School","Algonquin and Lakeshore CDSB","Kingston",1,FALSE
"St. Thomas More Catholic School","Toronto CDSB","Scarborough","855650","St Thomas More Catholic School","Toronto CDSB","Toronto",1,FALSE
"Centre Wellington District High School","Upper Grand DSB","Centre Wellington","909831","Centre Wellington District High School","Upper Grand DSB","Fergus",1,FALSE
"St. Margaret of Scotland School","Dufferin-Peel CDSB","Mississauga","750298","St Margaret of Scotland School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"Regina Mundi Catholic School","Toronto CDSB","North York","752819","Regina Mundi Catholic School","Toronto CDSB","Toronto",1,FALSE
"St. Boniface Catholic School","Toronto CDSB","Scarborough","780499","St Boniface Catholic School","Toronto CDSB","Scarborough",1,TRUE
"Harrow Public School","Greater Essex County DSB","Town of Essex","245658","Harrow Public School","Greater Essex County DSB","Harrow",1,FALSE
"St. Daniel Catholic Elementary School","Waterloo CDSB","Kitchener","785695","St Daniel Catholic Elementary School","Waterloo CDSB","Kitchener",1,TRUE
"Altona Forest Public School","Durham DSB","Pickering","014052","Altona Forest Public School","Durham DSB","PICKERING",1,FALSE
"École élémentaire catholique Notre-Dame-des-Champs","CECCE","Gloucester","735920","École élémentaire catholique Notre-Dame-des-Champs","CSDC du Centre-Est de l'Ontario","Ottawa",1,FALSE
"École élémentaire publique Carrefour Jeunesse","CEPEO","Clarence-Rockland","488291","École élémentaire publique Carrefour Jeunesse","CÉP de l'Est de l'Ontario","Rockland",1,FALSE
"St. John Catholic Elementary School","Waterloo CDSB","Kitchener","803766","St John Catholic Elementary School","Niagara CDSB","Beamsville",1,FALSE
"St. John Catholic Elementary School","Waterloo CDSB","Kitchener","804932","St. John Catholic Elementary School","Peterborough Victoria Northum Clarington CDSB","Peterborough",1,FALSE
"St. John Catholic Elementary School","Waterloo CDSB","Kitchener","801682","St John Catholic Elementary School","Waterloo CDSB","Kitchener",1,TRUE
"P.E. McGibbon Public School","Lambton Kent DSB","Sarnia","432918","P.E. McGibbon Public School","Lambton Kent DSB","SARNIA",1,FALSE
"St. Veronica Elementary School","Dufferin-Peel CDSB","Mississauga","857165","St Veronica Elementary School","Dufferin-Peel CDSB","Mississauga",1,TRUE
"St. Anthony Catholic School","Toronto CDSB","Toronto","773735","St Anthony Catholic School","Toronto CDSB","Toronto",1,TRUE
"St. Anthony Catholic School","Toronto CDSB","Toronto","772950","St Anthony Catholic School","Windsor-Essex CDSB","Harrow",1,FALSE
"Sacred Heart School","Brant Haldimand Norfolk DSB","Norfolk County","759309","Sacred Heart School","Brant Haldimand Norfolk CDSB","Langton",1,FALSE
"Sacred Heart School","Brant Haldimand Norfolk DSB","Norfolk County","732133","Sacred Heart School","Bruce-Grey CDSB","Mildmay",1,FALSE
"Sacred Heart School","Brant Haldimand Norfolk DSB","Norfolk County","759040","Sacred Heart School","CDSB of Eastern Ontario","Cornwall",1,FALSE
"Sacred Heart School","Brant Haldimand Norfolk DSB","Norfolk County","756962","Sacred Heart School","Simcoe Muskoka CDSB","Midland",1,FALSE
"St Patrick's School","Brant Haldimand Norfolk DSB","Haldimand County","840556","St. Patrick's School","Brant Haldimand Norfolk CDSB","Caledonia",1,FALSE
"St Patrick's School","Brant Haldimand Norfolk DSB","Haldimand County","838608","St Patrick's School","London District Catholic School Board","Woodstock",1,FALSE
"St Patrick's School","Brant Haldimand Norfolk DSB","Haldimand County","840688","St Patricks School","Northeastern CDSB","Kapuskasing",1,FALSE
"St Patrick's School","Brant Haldimand Norfolk DSB","Haldimand County","839388","St Patrick's School","Northwest CDSB","Atikokan",1,FALSE
"Our Lady of the Assumption Catholic Elementary School","Hamilton-Wentworth CDSB","Hamilton","748633","Our Lady of the Assumption Catholic Elementary School","Hamilton-Wentworth CDSB","Hannon",1,FALSE
"Waterloo-Oxford District Secondary School","Waterloo Regional DSB","Wilmot","951048","Waterloo-Oxford District Secondary School","Waterloo Region DSB","Baden",1,FALSE
"A. N. Myer Secondary School","Niagara DSB","Niagara Falls","890200","A N Myer Secondary School","DSB Niagara","Niagara Falls",2,TRUE
"A.B. Academy","Halton DSB","Oakville","669071","C.E. Academy","Private","Mississauga",2,FALSE
"École Élémentaire Pavillon de la Jeunesse","CS Viamonde","Hamilton","165484","École élémentaire Pavillon de la jeunesse","CS Viamonde","Hamilton",2,TRUE
"A.B. Lucas Secondary School","Thames Valley DSB","London","890073","A B Lucas Secondary School","Thames Valley DSB","London",2,TRUE
"École élémentaire catholique Laurier-CarriÃ¨re","CECCE","Ottawa","734314","École élémentaire catholique Laurier-Carrière","CSDC du Centre-Est de l'Ontario","Nepean",2,FALSE
"École élémentaire catholique Saint-FranÃ§ois-d'Assise","CECCE","Ottawa","793027","École élémentaire catholique Saint-François-d'Assise","CSDC du Centre-Est de l'Ontario","Ottawa",2,TRUE
"St. Basil-The-Great College School","Toronto CDSB","North York","776360","St Basil-the-Great College School","Toronto CDSB","Toronto",2,FALSE
"H.B. Beal Secondary School","Thames Valley DSB","London","914908","H B Beal Secondary School","Thames Valley DSB","London",2,TRUE
"STS Cosmas and Damian Catholic School","Toronto CDSB","Toronto","784435","Sts Cosmas and Damian Catholic School","Toronto CDSB","Toronto",2,TRUE
"École Secondaire Catholique L'Escale","CSDCEO","Ottawa","728330","École secondaire catholique L'Escale","CSDC de l'Est ontarien","Rockland",2,FALSE
"École Élémentaire Publique Francojeunesse","CEPEO","Ottawa","419796","École élémentaire publique Francojeunesse","CÉP de l'Est de l'Ontario","Ottawa",2,TRUE
"C.E. Broughton Public School","Durham DSB","Whitby","072907","C E Broughton Public School","Durham DSB","Whitby",2,TRUE
"École élémentaire catholique Sainte-GeneviÃ¨ve","CECCE","Ottawa","861871","École élémentaire catholique Sainte-Geneviève","CSDC du Centre-Est de l'Ontario","Ottawa",2,TRUE
"Colonel J.E. Farewell Public School","Durham DSB","Whitby","116840","Colonel J E Farewell Public School","Durham DSB","Whitby",2,TRUE
"École élémentaire catholique Bernard-GrandmaÃ®tre","CECCE","Gloucester Ontario","769765","École élémentaire catholique Bernard-Grandmaître","CSDC du Centre-Est de l'Ontario","Ottawa",2,FALSE
"R.H. Cornish Public School","Durham DSB","Port Perry","451177","R H Cornish Public School","Durham DSB","Port Perry",2,TRUE
"St. Peter's Catholic Secondary School","Simcoe Muskoka CDSB","Barrie","845361","St. Peter Catholic Secondary School","Peterborough Victoria Northum Clarington CDSB","Peterborough",2,FALSE
"M.M. Robinson High School","Halton DSB","Burlington","924393","M M Robinson High School","Halton DSB","Burlington",2,TRUE
"Ray Lewis Elementary School","Hamilton-Wentworth DSB","Hamilton","476773","Ray Lewis (Elementary) School","Hamilton-Wentworth DSB","Hamilton",2,TRUE
"Académie De La Tamise","CS Viamonde","London","165409","Académie de la Tamise","CS Viamonde","London",2,TRUE
"A. V. Graham Public School","Greater Essex County DSB","Tecumseh","001104","A V Graham Public School","Greater Essex County DSB","Tecumseh",2,TRUE
"École Secondaire Publique Le Sommet","CEPEO","Hawkesbury","949540","École secondaire publique Le Sommet","CÉP de l'Est de l'Ontario","Hawkesbury",2,TRUE
"M J Hobbs Junior Public School","Kawartha Pine Ridge DSB","Clarington","551333","M J Hobbs Senior Public School","Kawartha Pine Ridge DSB","Hampton",2,FALSE
"W T Townshend Public School","Waterloo Regional DSB","Kitchener","606189","W.T. Townshend Public School","Waterloo Region DSB","Kitchener",2,TRUE
"Our Lady of Peace Separate School","Dufferin-Peel CDSB","Brampton","744654","Our Lady of Grace Separate School","Renfrew County CDSB","Westmeath",2,FALSE
"Saint Gabriel the Archangel Catholic - School","Simcoe Muskoka CDSB","Barrie","808007","Saint Gabriel the Archangel Catholic School","Simcoe Muskoka CDSB","Barrie",2,TRUE
"École Secondaire Étienne-Brulé","CS Viamonde","North York","907588","École secondaire Étienne-Brûlé","CS Viamonde","North York",2,TRUE
"St. Martin de Porres Catholic School","Toronto CDSB","Scarborough","824305","St Martin De Porres Catholic School","Toronto CDSB","Toronto",2,FALSE
"G.L. Roberts Collegiate and Vocational Institute","TBA","Oshawa","911291","G L Roberts Collegiate and Vocational Institute","Durham DSB","Oshawa",2,TRUE
"St. Patrick’s Catholic High School","St. Clair CDSB","Sarnia","836788","St Patrick's Catholic High School","St Clair CDSB","Sarnia",2,TRUE
"M.S. Hetherington Public School","Greater Essex County DSB","Windsor","327026","M S Hetherington Public School","Greater Essex County DSB","Windsor",2,TRUE
"Saint Paul Catholic School","Algonquin & Lakeshore CDSB","Kingston","842761","St Paul Catholic School","Algonquin and Lakeshore CDSB","Kingston",3,TRUE
"Saint Paul Catholic School","Algonquin & Lakeshore CDSB","Kingston","843156","St Paul Catholic School","Durham CDSB","Whitby",3,FALSE
"Saint Paul Catholic School","Algonquin & Lakeshore CDSB","Kingston","841986","St Paul Catholic School","Huron-Superior CDSB","Sault Ste Marie",3,FALSE
"Saint Paul Catholic School","Algonquin & Lakeshore CDSB","Kingston","842540","St Paul Catholic School","Toronto CDSB","Toronto",3,FALSE
"Saint Paul Catholic School","Algonquin & Lakeshore CDSB","Kingston","841200","St Paul Catholic School","Wellington CDSB","Guelph",3,FALSE
"Ecole secondaire publique GisÃ¨le-Lalonde","CEPEO","Ottawa","912662","École secondaire publique Gisèle-Lalonde","CÉP de l'Est de l'Ontario","Orléans",3,FALSE
"St. Paul's Catholic School","Simcoe Muskoka CDSB","Alliston","842761","St Paul Catholic School","Algonquin and Lakeshore CDSB","Kingston",3,FALSE
"St. Paul's Catholic School","Simcoe Muskoka CDSB","Alliston","843156","St Paul Catholic School","Durham CDSB","Whitby",3,FALSE
"St. Paul's Catholic School","Simcoe Muskoka CDSB","Alliston","841986","St Paul Catholic School","Huron-Superior CDSB","Sault Ste Marie",3,FALSE
"St. Paul's Catholic School","Simcoe Muskoka CDSB","Alliston","842540","St Paul Catholic School","Toronto CDSB","Toronto",3,FALSE
"St. Paul's Catholic School","Simcoe Muskoka CDSB","Alliston","841200","St Paul Catholic School","Wellington CDSB","Guelph",3,FALSE
